acc,avespotlen,num_chunks,gbases,chunk_size,chunk
SRR17827884,299,36,106.502,10033445,5
ERR12356819,288,19,56.03,10416667,13
SRR23274238,302,24,70.907,9933775,20
SRR490147,300,31,91.982,10000000,12
SRR10917570,302,29,84.07300000000001,9933775,4
SRR8556138,302,28,82.31400000000001,9933775,3
SRR24307785,302,20,58.229,9933775,9
SRR26114389,302,17,48.068,9933775,13
ERR10921467,301,17,50.532000000000004,9966778,13
SRR11195290,284,37,108.757,10563381,14
SRR5215473,302,21,62.614000000000004,9933775,17
SRR25638222,299,13,38.511,10033445,8
SRR12682966,302,28,81.548,9933775,22
ERR14207172,292,18,53.907000000000004,10273973,14
ERR3274948,199,40,119.613,15075377,3
SRR24605001,300,17,50.617000000000004,10000000,3
SRR30952574,302,35,104.94200000000001,9933775,10
SRR26114389,302,17,48.068,9933775,11
SRR25742239,300,23,67.405,10000000,8
ERR7179831,264,22,64.538,11363637,13
SRR5248754,300,18,52.0,10000000,4
SRR11729748,302,13,37.769,9933775,6
ERR12418585,302,16,45.662,9933775,4
ERR4691690,196,14,39.259,15306123,3
ERR5192579,302,37,108.789,9933775,30
DRR337526,302,18,53.554,9933775,14
SRR8556220,302,28,81.918,9933775,20
SRR27176304,297,20,58.370000000000005,10101011,18
SRR15730528,302,16,46.42,9933775,11
SRR23946003,302,20,59.615,9933775,10
SRR15144438,300,43,126.583,10000000,26
SRR27128292,300,25,74.145,10000000,7
SRR28416751,302,25,73.538,9933775,19
SRR25822718,302,43,126.247,9933775,34
SRR14860617,300,35,102.375,10000000,17
SRR5213598,302,22,65.275,9933775,2
SRR13853571,302,23,67.087,9933775,1
SRR11430613,300,29,85.89,10000000,10
SRR490148,300,40,119.334,10000000,9
SRR14879665,300,29,86.388,10000000,29
SRR11288142,267,11,31.255,11235956,7
SRR29340326,300,22,64.322,10000000,17
SRR26348422,300,22,63.776,10000000,4
SRR22098095,302,42,125.804,9933775,10
ERR10503285,296,16,45.194,10135136,9
SRR9651461,302,33,97.595,9933775,26
SRR21607485,302,26,77.04,9933775,14
ERR10479404,300,29,86.09,10000000,29
DRR525850,300,55,162.573,10000000,6
ERR10921423,300,16,46.802,10000000,15
SRR26114302,302,12,34.289,9933775,6
SRR31641004,300,31,90.958,10000000,25
SRR5583252,302,12,33.193,9933775,8
SRR27128317,300,21,62.672000000000004,10000000,15
SRR21856590,302,26,75.208,9933775,6
ERR2245455,302,20,57.611000000000004,9933775,3
DRR067589,200,15,42.947,15000000,15
ERR12059485,297,14,41.604,10101011,7
ERR10048412,300,29,85.115,10000000,4
ERR10503100,300,20,57.763,10000000,9
SRR23617205,290,16,46.151,10344828,11
SRR26188475,300,11,30.02,10000000,5
SRR10360643,355,13,37.074,8450705,4
SRR14689487,302,18,52.131,9933775,9
ERR10921344,300,15,43.306,10000000,3
ERR7017983,302,12,34.409,9933775,2
SRR3195512,300,33,97.788,10000000,11
SRR408201,300,35,102.562,10000000,35
SRR21116739,302,48,142.27100000000002,9933775,38
SRR24676580,300,21,60.069,10000000,5
SRR29092999,300,22,65.008,10000000,20
SRR21704971,200,14,40.311,15000000,3
SRR12474088,290,14,41.761,10344828,2
SRR31374347,202,36,106.824,14851486,3
SRR11049220,302,14,39.83,9933775,4
SRR28004143,300,53,156.026,10000000,32
SRR873605,300,24,69.184,10000000,22
DRR337534,302,17,50.066,9933775,5
SRR28520288,302,29,84.833,9933775,29
SRR21663139,302,12,35.951,9933775,7
SRR21863505,302,12,35.35,9933775,6
SRR13892605,300,22,63.064,10000000,5
SRR6218665,300,18,52.146,10000000,15
SRR30952577,302,38,113.665,9933775,23
ERR8050807,300,13,38.378,10000000,4
SRR9640551,288,24,71.068,10416667,6
SRR23823825,302,11,32.532000000000004,9933775,8
ERR599078,198,11,32.684,15151516,2
ERR10101782,298,21,60.409,10067115,11
SRR30951394,302,52,153.138,9933775,1
SRR11435095,280,13,36.769,10714286,13
